reference,leader,word,trailer,lemma,part_of_speech
2.4,,χρῄζει,",",χρῄζω,VERB
2.4,,λέγων,,λέγω,VERB
2.4,,ὅτε,,ὅτε,ADV
2.4,,μέν,·,μέν,ADV
2.5,,Τί,,τις,PRON
2.5,,μοι,,ἐγώ,PRON
2.5,,πλῆθος,,πλῆθος,NOUN
2.5,,τῶν,,ὁ,DET
2.5,,θυσιῶν,,θυσία,NOUN
2.5,,ὑμῶν,;,σύ,PRON
2.5,,λέγει,,λέγω,VERB
2.5,,κύριος,.,κύριος,NOUN
2.5,,πλήρης,,πλήρης,ADJ
2.5,,εἰμὶ,,εἰμί,AUX
2.5,,ὁλοκαυτωμάτων,",",ὁλοκαύτωμα,NOUN
2.5,,καὶ,,καί,CCONJ
2.5,,στέαρ,,στέαρ,NOUN
2.5,,ἀρνῶν,,ἀρνός,NOUN
2.5,,καὶ,,καί,CCONJ
2.5,,αἷμα,,αἷμα,NOUN
2.5,,ταύρων,,ταῦρος,NOUN
2.5,,καὶ,,καί,CCONJ
2.5,,τράγων,,τράγος,NOUN
2.5,,οὐ,,οὐ,ADV
2.5,,βούλομαι,",",βούλομαι,VERB
2.5,,οὐδ,’,οὐδ,ADV
2.5,,ἂν,,ἄν,ADV
2.5,,ἔρχησθε,,ἔρχομαι,VERB
2.5,,ὀφθῆναί,,ὁράω,VERB
2.5,,μοι,.,ἐγώ,PRON
2.5,,τίς,,τις,PRON
2.5,,γὰρ,,γάρ,ADV
2.5,,ἐξεζήτησεν,,ἐκζητέω,VERB
2.5,,ταῦτα,,οὗτος,ADJ
2.5,,ἐκ,,ἐκ,ADP
2.5,,τῶν,,ὁ,DET
2.5,,χειρῶν,,χείρ,NOUN
2.5,,ὑμῶν,;,σύ,PRON
2.5,,πατεῖν,,πατέω,VERB
2.5,,μου,,ἐγώ,PRON
2.5,,τὴν,,ὁ,DET
2.5,,αὐλὴν,,αὐλή,NOUN
2.5,,οὐ,,οὐ,ADV
2.5,,προσθήσεσθε,.,προσθάω,VERB
2.5,,ἐὰν,,ἐάν,SCONJ
2.5,,φέρητε,,φέρω,VERB
2.5,,σεμίδαλιν,",",σεμίδαλις,NOUN
2.5,,μάταιον,·,μάταιος,ADJ
2.5,,θυμίαμα,,θυμίαμα,NOUN
2.5,,βδέλυγμά,,βδέλυγμα,NOUN
2.5,,μοί,,ἐγώ,PRON
2.5,,ἐστιν,·,εἰμί,AUX
2.5,,τὰς,,ὁ,DET
2.5,,νεομηνίας,,νεομηνία,NOUN
2.5,,ὑμῶν,,σύ,PRON
2.5,,καὶ,,καί,CCONJ
2.5,,τὰ,,ὁ,DET
2.5,,σάββατα,,σάββατον,NOUN
2.5,,οὐκ,,οὐ,ADV
2.5,,ἀνέχομαι,.,ἀνέχω,VERB
2.6,,ταῦτα,,οὗτος,PRON
2.6,,οὖν,,οὖν,ADV
2.6,,κατήργησεν,",",καταργέω,VERB
2.6,,ἵνα,,ἵνα,SCONJ
2.6,,ὁ,,ὁ,DET
2.6,,καινὸς,,καινός,ADJ
2.6,,νόμος,,νόμος,NOUN
2.6,,τοῦ,,ὁ,DET
2.6,,κυρίου,,κύριος,NOUN
2.6,,ἡμῶν,,ἐγώ,PRON
2.6,,Ἰησοῦ,,Ἰησοῦς,PROPN
2.6,,Χριστοῦ,",",χριστός,PROPN
2.6,,ἄνευ,,ἄνευ,ADP
2.6,,ζυγοῦ,,ζυγόν,NOUN
2.6,,ἀνάγκης,,ἀνάγκη,NOUN
2.6,,ὤν,",",εἰμί,AUX
2.6,,μὴ,,μή,ADV
2.6,,ἀνθρωποποίητον,,ἀνθρωποποίητος,ADJ
2.6,,ἔχῃ,,ἔχω,VERB
2.6,,τὴν,,ὁ,DET
2.6,,προσφοράν,.,προσφορά,NOUN
2.7,,λέγει,,λέγω,VERB
2.7,,δὲ,,δέ,ADV
2.7,,πάλιν,,πάλιν,ADV
2.7,,πρὸς,,πρός,ADP
2.7,,αὐτούς,·,αὐτός,PRON
2.7,,Μὴ,,μή,ADV
2.7,,ἐγὼ,,ἐγώ,PRON
2.7,,ἐνετειλάμην,,ἐντέλλω,VERB
2.7,,τοῖς,,ὁ,DET
2.7,,πατράσιν,,πατήρ,NOUN
2.7,,ὑμῶν,,σύ,PRON
2.7,,ἐκπορευομένοις,,ἐκπορεύω,VERB
2.7,,ἐκ,,ἐκ,ADP
2.7,,γῆς,,γῆ,NOUN
2.7,,Αἰγύπτου,",",Αἴγυπτος,NOUN
2.7,,προσενέγκαι,,προσφέρω,VERB
2.7,,μοι,,ἐγώ,PRON
2.7,,ὁλοκαυτώματα,,ὁλοκαύτωμα,NOUN
2.7,,καὶ,,καί,CCONJ
2.7,,θυσίας,;,θυσία,NOUN
2.8,,ἀλλ’,,ἀλλά,CCONJ
